food_name,energy,protein,fat,carbohydrate
＜でん粉・でん粉製品＞　（でん粉類）　おおうばゆりでん粉,1396.0,0.1,0.1,83.6
＜でん粉・でん粉製品＞　（でん粉類）　キャッサバでん粉,1510.0,0.1,0.2,85.3
＜でん粉・でん粉製品＞　（でん粉類）　くずでん粉,1517.0,0.2,0.2,85.6
＜でん粉・でん粉製品＞　（でん粉類）　米でん粉,1601.0,0.2,0.7,89.3
＜でん粉・でん粉製品＞　（でん粉類）　小麦でん粉,1536.0,0.2,0.5,86.0
＜でん粉・でん粉製品＞　（でん粉類）　サゴでん粉,1524.0,0.1,0.2,86.1
＜でん粉・でん粉製品＞　（でん粉類）　さつまいもでん粉,1452.0,0.1,0.2,82.0
＜でん粉・でん粉製品＞　（でん粉類）　じゃがいもでん粉,1442.0,0.1,0.1,81.6
＜でん粉・でん粉製品＞　（でん粉類）　とうもろこしでん粉,1548.0,0.1,0.7,86.3
＜でん粉・でん粉製品＞　（でん粉製品）　くずきり　乾,1452.0,0.2,0.2,87.7
＜でん粉・でん粉製品＞　（でん粉製品）　くずきり　ゆで,564.0,0.1,0.1,33.3
＜でん粉・でん粉製品＞　（でん粉製品）　ごま豆腐,315.0,1.5,4.3,9.1
＜でん粉・でん粉製品＞　（でん粉製品）　タピオカパール　乾,1494.0,0.0,0.2,87.8
＜でん粉・でん粉製品＞　（でん粉製品）　タピオカパール　ゆで,260.0,0.0,,15.4
＜でん粉・でん粉製品＞　（でん粉製品）　でん粉めん　生,548.0,0.1,0.2,32.2
＜でん粉・でん粉製品＞　（でん粉製品）　でん粉めん　乾,1473.0,0.2,0.3,86.7
＜でん粉・でん粉製品＞　（でん粉製品）　でん粉めん　乾　ゆで,350.0,0.0,0.2,20.6
＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　緑豆はるさめ　乾,1466.0,0.2,0.4,87.5
＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　緑豆はるさめ　ゆで,331.0,,0.1,20.6
＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　普通はるさめ　乾,1468.0,0.0,0.2,86.6
＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　普通はるさめ　ゆで,323.0,0.0,,19.9
（砂糖類）　黒砂糖,1504.0,1.7,,90.3
（砂糖類）　てんさい含蜜糖,1517.0,0.9,,96.9
（砂糖類）　和三盆糖,1675.0,0.2,,99.0
（砂糖類）　車糖　上白糖,1667.0,,,99.3
（砂糖類）　車糖　三温糖,1662.0,,,99.0
（砂糖類）　ざらめ糖　グラニュー糖,1679.0,,,100.0
（砂糖類）　ざらめ糖　白ざら糖,1678.0,,,100.0
（砂糖類）　ざらめ糖　中ざら糖,1677.0,,,100.0
（砂糖類）　加工糖　角砂糖,1679.0,,,100.0
（砂糖類）　加工糖　氷砂糖,1679.0,,,100.0
（砂糖類）　加工糖　コーヒーシュガー,1680.0,0.1,,99.8
（砂糖類）　加工糖　粉糖,1675.0,,,99.7
（砂糖類）　液糖　しょ糖型液糖,1141.0,,,67.9
（砂糖類）　液糖　転化型液糖,1256.0,,,76.6
（砂糖類）　氷糖みつ,1163.0,0.2,,68.2
（でん粉糖類）　還元麦芽糖,873.0,0.0,,100.0
（でん粉糖類）　還元水あめ,882.0,0.0,,69.9
（でん粉糖類）　粉あめ,1694.0,,,97.0
（でん粉糖類）　水あめ　酵素糖化,1461.0,,,85.0
（でん粉糖類）　水あめ　酸糖化,1456.0,,,85.0
（でん粉糖類）　ぶどう糖　全糖,1460.0,,,91.0
（でん粉糖類）　ぶどう糖　含水結晶,1461.0,,,91.3
（でん粉糖類）　ぶどう糖　無水結晶,1595.0,,,99.7
（でん粉糖類）　果糖,1598.0,,,99.9
（でん粉糖類）　異性化液糖　ぶどう糖果糖液糖,1208.0,0.0,0.0,75.0
（でん粉糖類）　異性化液糖　果糖ぶどう糖液糖,1208.0,0.0,0.0,75.0
（でん粉糖類）　異性化液糖　高果糖液糖,1205.0,0.0,0.0,75.0
（その他）　黒蜜,851.0,1.0,0.0,50.5
（その他）　はちみつ,1397.0,0.3,,81.9
（その他）　はちみつ　国産品　,1392.0,0.1,,81.7
（その他）　メープルシロップ,1129.0,0.1,0.0,66.3
あずき　全粒　乾,1279.0,20.8,2.0,59.6
あずき　全粒　ゆで,523.0,8.6,0.8,25.6
あずき　ゆで小豆缶詰,860.0,4.4,0.4,49.2
あずき　あん　こし生あん,624.0,9.8,0.6,27.1
あずき　あん　さらしあん　（乾燥あん）,1413.0,23.5,1.0,66.8
あずき　あん　こし練りあん　（並あん）,1085.0,,,
あずき　あん　こし練りあん　（中割りあん）,1115.0,,,
あずき　あん　こし練りあん　（もなかあん）,1241.0,,,
